generations: 1000
Best solution:
100001111010111000110101110101101011110010111001111011110000100001100010010101111110111110001001101100010001110100100101100100011001100011011110001100100111 -18838488.079026256
-18838488.079026256
Average: -2652299.525557	Std Deviation: 3608317.779750
Generation #565:	-18837727.886647
Generation #566:	-18837727.886647
Generation #567:	-18837727.886647
Generation #568:	-18837727.886647
Generation #569:	-18837727.886647
Generation #570:	-18837727.886647
Generation #571:	-18837727.886647
Generation #572:	-18837727.886647
Generation #573:	-18837727.886647
Generation #574:	-18837736.541630
Generation #575:	-18837736.541630
Generation #576:	-18837736.541630
Generation #577:	-18837736.541630
Generation #578:	-18837748.702061
Generation #579:	-18837748.702061
Generation #580:	-18837748.702061
Generation #581:	-18837748.702061
Generation #582:	-18837748.702061
Generation #583:	-18837748.702061
Generation #584:	-18837748.702061
Generation #585:	-18837748.702061
Generation #586:	-18837748.702061
Generation #587:	-18837748.702061
Generation #588:	-18837748.702061
Generation #589:	-18837748.702061
Generation #590:	-18837748.702061
Generation #591:	-18837748.702061
Generation #592:	-18837748.702061
Generation #593:	-18837748.702061
Generation #594:	-18837748.702061
Generation #595:	-18837748.702061
Generation #596:	-18837748.702061
Generation #597:	-18837748.702061
Generation #598:	-18837748.702061
Generation #599:	-18837748.702061
Generation #600:	-18837748.702061
Generation #601:	-18837748.702061
Generation #602:	-18837748.702061
Generation #603:	-18837748.702061
Generation #604:	-18837748.702061
Generation #605:	-18837748.702061
Generation #606:	-18837748.702061
Generation #607:	-18837748.702061
Generation #608:	-18837748.702061
Generation #609:	-18837748.702061
Generation #610:	-18837748.702061
Generation #611:	-18837748.702061
Generation #612:	-18837748.702061
Generation #613:	-18837748.702061
Generation #614:	-18837748.702061
Generation #615:	-18837748.702061
Generation #616:	-18837748.702061
Generation #617:	-18837748.702061
Generation #618:	-18837748.702061
Generation #619:	-18837748.702061
Generation #620:	-18837748.702061
Generation #621:	-18837748.702061
Generation #622:	-18837748.702061
Generation #623:	-18837748.702061
Generation #624:	-18837748.702061
Generation #625:	-18837748.702061
Generation #626:	-18837748.702061
Generation #627:	-18837748.702061
Generation #628:	-18837748.702061
Generation #629:	-18837748.702061
Generation #630:	-18837748.702061
Generation #631:	-18837748.702061
